City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2759,Nha Trang,VN,75.2,broken clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
2761,Dosso,NE,85.21,few clouds,13.049000000000001,3.1937,Hotel Toubal
2768,Santa Maria,BR,75.2,few clouds,-29.6842,-53.8069,Hotel Morotin
2770,Quatre Cocos,MU,77.0,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
2771,Kannangad,IN,78.39,scattered clouds,12.3081,75.1063,Hotel Landmark
2773,Rurrenabaque,BO,86.0,scattered clouds,-14.4413,-67.5278,Casa de Campo
2774,Kapaa,US,80.01,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
2777,Grand Gaube,MU,77.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
2783,Sao Borja,BR,77.81,clear sky,-28.6606,-56.0044,Hotel Executivo
2786,Manzanillo,CU,82.4,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
2792,Kitgum,UG,75.2,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
2798,Nuevitas,CU,87.8,scattered clouds,21.5453,-77.2644,Hotel Caonaba
2805,Hilo,US,84.2,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
2806,Georgetown,MY,79.0,mist,5.4112,100.3354,Cititel Penang
2808,Bengkulu,ID,76.14,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
2810,Trincomalee,LK,81.66,overcast clouds,8.5711,81.2335,Welcombe Hotel
2811,Atuona,PF,80.33,overcast clouds,-9.8,-139.0333,Villa Enata
2814,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
2818,Bambous Virieux,MU,77.0,few clouds,-20.3428,57.7575,Casa Tia Villa
2821,West Bay,KY,84.2,scattered clouds,19.3667,-81.4167,Calypso Cove
2823,Butaritari,KI,81.46,light rain,3.0707,172.7902,Isles Sunset Lodge
2824,Pimentel,PE,75.2,clear sky,-6.8367,-79.9342,Casona Del Muelle
2828,Honiara,SB,84.67,scattered clouds,-9.4333,159.95,Heritage Park Hotel
2830,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
2833,Hithadhoo,MV,82.49,overcast clouds,-0.6,73.0833,Scoop Guest House
2834,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
2837,Port Blair,IN,80.6,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
2839,Hambantota,LK,77.68,moderate rain,6.1241,81.1185,Bungalow 63
2841,Pangai,TO,80.6,light rain,-19.8,-174.35,Ha'apai Beach Resort
2845,Buraydah,SA,78.8,clear sky,26.326,43.975,فندق راحة السلام
2848,Ixtapa,MX,77.0,broken clouds,20.7,-105.2,Hotel Plaza Providencia
2850,Hobyo,SO,77.74,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
2858,Rayagada,IN,77.41,clear sky,19.1667,83.4167,"Hotel Swagath, Rayagada"
